,id,polyArea,stdResponseTime,avgResponseTime,negativePer,missPer
0,AT_000004_hiro,0.5537803274841852,0.060372604192041664,0.42208065171503945,0.020604395604395604,0.0
2,AT_000006_hiro,0.4782422296204869,0.04968434555145397,0.4295984508196724,0.0027472527472527475,0.0
4,AT_000008_hiro,0.5869868683142879,0.0519679707869901,0.4646252978142048,0.0027472527472527475,0.0
5,AT_000010_hiro,0.5536288837018767,0.08168970900450656,0.4901904419889535,0.004120879120879121,0.006868131868131868
9,AT_000014_hiro,0.6118722795022096,0.07439786753512763,0.5025362829670345,0.006868131868131868,0.006868131868131868
11,AT_000018_hiro,0.5625797095284453,0.0511602551543188,0.4265188396739131,0.005494505494505495,0.0
12,AT_000019_hiro,0.5093931983803455,0.05876382190944511,0.5022643763736261,0.0013736263736263735,0.0013736263736263735
14,AT_000022_hiro,0.4943445295651338,0.055697317383244516,0.4709944891304329,0.005494505494505495,0.0
15,AT_000024_hiro,0.4822926000790314,0.04472857399836657,0.4546020329670316,0.0013736263736263735,0.0013736263736263735
16,AT_000025_hiro,0.5122892846732175,0.05659800612986631,0.4604190299727506,0.006868131868131868,0.0027472527472527475
20,AT_000029_hiro,0.47344239730279,0.07160709482025905,0.460589651685395,0.0013736263736263735,0.012362637362637362
21,AT_000030_hiro,0.4889181336200709,0.0637751055463074,0.4659903866666686,0.017857142857142856,0.0027472527472527475
22,AT_000032_hiro,0.5552158397144163,0.06844983440410864,0.4684361491712688,0.004120879120879121,0.006868131868131868
23,AT_000033_hiro,0.8336986329009226,0.0959726370662322,0.4919279805555545,0.019230769230769232,0.024725274725274724
26,AT_000037_hiro,0.6799901609936038,0.054496683841942666,0.517176522099447,0.0013736263736263735,0.004120879120879121
27,AT_000038_hiro,0.493820279366501,0.0808640462008477,0.4601683486486485,0.019230769230769232,0.01098901098901099
28,AT_000039_hiro,0.7405924782673315,0.08413781822663438,0.4681565887323917,0.03571428571428571,0.04807692307692308
29,AT_000040_hiro,0.5320605483083153,0.045053195492739714,0.4565657378378381,0.009615384615384616,0.0013736263736263735
0,AT_000001_yoko,0.7269560806846314,0.04219570108809965,0.4710253205479445,0.0013736263736263735,0.0
1,AT_000003_yoko,0.520203084983696,0.05154115012711272,0.4997922677595641,0.004120879120879121,0.0013736263736263735
2,AT_000005_yoko,0.4849101006041015,0.04541703245579945,0.4464058264462808,0.0027472527472527475,0.004120879120879121
7,AT_000015_yoko,0.4868017350569902,0.05055120932907215,0.4304614277929169,0.005494505494505495,0.0013736263736263735
8,AT_000017_yoko,0.5432523915890606,0.07650737904667516,0.5089210668523687,0.0027472527472527475,0.009615384615384616
9,AT_000019_yoko,0.7786042879394497,0.050389744255659515,0.4569563956043952,0.0013736263736263735,0.0013736263736263735
10,AT_000021_yoko,0.6107466342230634,0.06568029996592192,0.4794788133333348,0.020604395604395604,0.005494505494505495
11,AT_000023_yoko,0.5675364860963809,0.08349920509662716,0.491280286103541,0.012362637362637362,0.008241758241758242
12,AT_000025_yoko,0.6719705078334479,0.056959715729925336,0.487675550684932,0.0013736263736263735,0.0
13,AT_000027_yoko,0.6026035542191939,0.06011275054318399,0.5168685537190084,0.0027472527472527475,0.004120879120879121
16,AT_000033_yoko,0.7476915383811849,0.0495315144742856,0.4073626657824944,0.019230769230769232,0.0013736263736263735
17,AT_000035_yoko,0.5298006602544135,0.040260841981857136,0.4275663487738439,0.004120879120879121,0.0
20,AT_000041_yoko,0.5156214666318579,0.050168062942232125,0.4360868750000012,0.008241758241758242,0.0027472527472527475
25,AT_000051_yoko,0.6528378534307528,0.039189303295679545,0.4454455327868865,0.0027472527472527475,0.0
26,AT_000053_yoko,0.5539873810122481,0.05389680610404039,0.4582942891891869,0.009615384615384616,0.0013736263736263735
